text,label
Solved Web Development on LeetCode for college assignment,1
Completed DBMS using textbooks seriously,1
Practiced Maths from lecture notes for college assignment,1
Completed Python using textbooks for college assignment,1
Practiced DSA on Codeforces in the morning,1
Prepared DBMS from online course for college assignment,1
Prepared DSA from online course with focus,1
Completed Web Development on LeetCode for placement preparation,1
Completed Operating Systems from online course for placement preparation,1
Studied Python using textbooks for project work,1
Prepared Web Development on LeetCode seriously,1
Prepared Computer Networks on LeetCode for project work,1
Prepared Python from online course seriously,1
Worked on Operating Systems from online course in the morning,1
Solved DSA on Codeforces seriously,1
Completed Python using textbooks seriously,1
Built Maths on Codeforces for exam,1
Solved Machine Learning on Codeforces for exam,1
Studied Machine Learning on Codeforces for college assignment,1
Solved Computer Networks on Codeforces for placement preparation,1
Solved Maths from lecture notes seriously,1
Revised DSA from online course for college assignment,1
Completed Computer Networks on LeetCode seriously,1
Studied Python from lecture notes for placement preparation,1
Worked on Operating Systems from online course for exam,1
Practiced Maths using textbooks for exam,1
Completed Computer Networks using textbooks seriously,1
Solved DBMS using textbooks seriously,1
Practiced Computer Networks from lecture notes for placement preparation,1
Solved Operating Systems on Codeforces for college assignment,1
Solved Computer Networks from lecture notes for placement preparation,1
Practiced DBMS using textbooks in the morning,1
Completed Computer Networks from online course seriously,1
Completed Computer Networks from online course for 2 hours,1
Completed Machine Learning on Codeforces for exam,1
Worked on DBMS from online course for project work,1
Prepared Operating Systems on LeetCode in the morning,1
Worked on Machine Learning using textbooks for 2 hours,1
Solved Operating Systems using textbooks for exam,1
Solved Machine Learning on LeetCode with focus,1
Worked on Machine Learning on Codeforces for project work,1
Built Python from lecture notes in the morning,1
Prepared DBMS from online course for exam,1
Completed Machine Learning from online course with focus,1
Practiced Operating Systems from lecture notes seriously,1
Practiced Python on Codeforces for 2 hours,1
Completed DSA on Codeforces for exam,1
Prepared DBMS from lecture notes with focus,1
Prepared DSA from online course with focus,1
Studied Web Development on Codeforces in the morning,1
Revised DBMS on LeetCode for exam,1
Prepared Machine Learning using textbooks for exam,1
Practiced Machine Learning on Codeforces in the morning,1
Completed Machine Learning from lecture notes for 2 hours,1
Solved DSA on LeetCode for placement preparation,1
Worked on Python from lecture notes for 2 hours,1
Worked on Computer Networks using textbooks in the morning,1
Built Computer Networks using textbooks seriously,1
Built DBMS using textbooks seriously,1
Built Operating Systems from lecture notes in the morning,1
Completed Python using textbooks for college assignment,1
Solved Python from online course in the morning,1
Studied Operating Systems using textbooks for 2 hours,1
Revised Python from online course for 2 hours,1
Prepared Web Development from lecture notes in the morning,1
Completed Computer Networks from lecture notes in the morning,1
Prepared DBMS on Codeforces with focus,1
Solved Computer Networks from lecture notes in the morning,1
Worked on Python from online course for 2 hours,1
Built Web Development on Codeforces for college assignment,1
Prepared Computer Networks from online course for placement preparation,1
Revised Machine Learning on LeetCode with focus,1
Prepared Operating Systems on Codeforces for project work,1
Prepared Web Development on LeetCode for exam,1
Worked on Computer Networks on Codeforces in the morning,1
Worked on DSA using textbooks with focus,1
Practiced Machine Learning on Codeforces for 2 hours,1
Prepared Python on LeetCode for 2 hours,1
Completed Operating Systems from online course for 2 hours,1
Built Machine Learning on LeetCode for project work,1
Prepared Maths from online course seriously,1
Studied DBMS from online course with focus,1
Practiced Operating Systems using textbooks in the morning,1
Built Computer Networks on Codeforces in the morning,1
Worked on Computer Networks from lecture notes with focus,1
Solved Maths from lecture notes for exam,1
Studied Python from online course for exam,1
Worked on Web Development on LeetCode in the morning,1
Prepared Maths from online course for placement preparation,1
Solved DSA from online course with focus,1
Worked on Python on Codeforces for exam,1
Studied Web Development from lecture notes with focus,1
Built Computer Networks on Codeforces with focus,1
Built Machine Learning from online course for exam,1
Worked on Computer Networks using textbooks for project work,1
Completed Computer Networks from online course in the morning,1
Solved Machine Learning from online course for project work,1
Completed Python from online course for college assignment,1
Completed Computer Networks from lecture notes for placement preparation,1
Browsing Facebook for time pass,0
Watching Snapchat for time pass,0
Playing Minecraft for time pass,0
Browsing YouTube late night,0
Scrolling Snapchat for time pass,0
Scrolling Instagram without purpose,0
Watching YouTube for time pass,0
Playing Valorant randomly,0
Playing Instagram casually,0
Watching YouTube casually,0
Playing WhatsApp late night,0
Playing Valorant late night,0
Playing GTA randomly,0
Playing PUBG without purpose,0
Watching Facebook randomly,0
Playing PUBG without purpose,0
Playing Valorant late night,0
Playing GTA casually,0
Scrolling Snapchat late night,0
Playing Minecraft late night,0
Playing Valorant late night,0
Playing GTA casually,0
Playing PUBG late night,0
Playing Valorant casually,0
Scrolling Facebook for time pass,0
Watching Facebook randomly,0
Scrolling YouTube late night,0
Chatting on WhatsApp for time pass,0
Playing Free Fire randomly,0
Playing Valorant for time pass,0
Scrolling Instagram for time pass,0
Playing PUBG randomly,0
Playing Valorant without purpose,0
Playing GTA casually,0
Watching YouTube without purpose,0
Playing Minecraft without purpose,0
Playing Facebook for time pass,0
Watching WhatsApp randomly,0
Playing GTA without purpose,0
Playing Minecraft late night,0
Playing PUBG for time pass,0
Playing GTA late night,0
Watching WhatsApp late night,0
Chatting on Facebook randomly,0
Watching Instagram without purpose,0
Chatting on Instagram randomly,0
Playing PUBG casually,0
Watching Snapchat for time pass,0
Playing Valorant without purpose,0
Playing WhatsApp for time pass,0
Scrolling Facebook late night,0
Browsing Instagram without purpose,0
Browsing YouTube for time pass,0
Watching WhatsApp randomly,0
Playing Minecraft late night,0
Playing Free Fire randomly,0
Playing Instagram late night,0
Scrolling Facebook casually,0
Playing Instagram randomly,0
Playing Valorant casually,0
Browsing Snapchat late night,0
Playing Minecraft late night,0
Browsing YouTube for time pass,0
Playing PUBG without purpose,0
Watching Snapchat randomly,0
Playing PUBG randomly,0
Playing PUBG randomly,0
Watching Facebook casually,0
Playing Valorant late night,0
Watching WhatsApp without purpose,0
Playing GTA late night,0
Chatting on Snapchat without purpose,0
Playing GTA late night,0
Playing GTA late night,0
Playing Instagram randomly,0
Watching Instagram casually,0
Playing GTA for time pass,0
Playing Minecraft casually,0
Browsing YouTube late night,0
Playing GTA for time pass,0
Playing Facebook for time pass,0
Playing PUBG late night,0
Chatting on Facebook without purpose,0
Chatting on Facebook without purpose,0
Playing Snapchat late night,0
Playing Instagram randomly,0
Playing GTA casually,0
Playing PUBG for time pass,0
Playing Free Fire late night,0
Playing Valorant late night,0
Browsing Instagram casually,0
Playing PUBG late night,0
Playing Minecraft randomly,0
Scrolling Facebook for time pass,0
Watching WhatsApp randomly,0
Playing Valorant without purpose,0
Playing Valorant without purpose,0
Browsing Snapchat late night,0
Browsing Snapchat late night,0
Watching WhatsApp for time pass,0
Playing YouTube without purpose,0
Chatting on YouTube casually,0
Playing Facebook randomly,0
Scrolling Instagram late night,0
Playing Free Fire randomly,0
Playing GTA late night,0
Browsing YouTube casually,0
Playing Free Fire late night,0
Playing Valorant randomly,0
Watching WhatsApp for time pass,0
Playing Minecraft for time pass,0
Chatting on Facebook casually,0
Watching YouTube for time pass,0
Playing Free Fire without purpose,0
Playing Minecraft randomly,0
Playing Free Fire without purpose,0
Watching Facebook late night,0
Playing Free Fire randomly,0
Playing Free Fire randomly,0
Chatting on WhatsApp for time pass,0
Browsing Snapchat casually,0
Playing Snapchat for time pass,0
Playing Minecraft without purpose,0
Playing Free Fire without purpose,0
Browsing YouTube for time pass,0
Playing Valorant late night,0
Watching Instagram late night,0
Chatting on Facebook randomly,0
Playing Minecraft casually,0
Chatting on YouTube casually,0
Watching WhatsApp without purpose,0
Browsing WhatsApp randomly,0
Chatting on YouTube without purpose,0
Playing Valorant for time pass,0
Playing Minecraft randomly,0
Playing Free Fire late night,0
Scrolling Instagram randomly,0
Chatting on Facebook casually,0
Playing GTA randomly,0
Scrolling WhatsApp late night,0
Playing Minecraft randomly,0
Playing Free Fire randomly,0
Watching WhatsApp late night,0
Watching YouTube late night,0
Scrolling Facebook late night,0
Chatting on Facebook randomly,0
Playing Minecraft randomly,0
Watching YouTube for time pass,0
Scrolling Instagram casually,0
Watching Instagram without purpose,0
Playing Valorant casually,0
Playing Free Fire late night,0
Playing Minecraft casually,0
Playing Facebook late night,0
Playing Valorant without purpose,0
Playing GTA for time pass,0
Playing Free Fire for time pass,0
Browsing Facebook for time pass,0
Playing WhatsApp for time pass,0
Playing GTA without purpose,0
Chatting on YouTube for time pass,0
Browsing Instagram late night,0
Playing Snapchat for time pass,0
Playing GTA without purpose,0
Playing Valorant late night,0
Playing GTA late night,0
Playing Minecraft randomly,0
Watching Facebook casually,0
Chatting on WhatsApp without purpose,0
Playing GTA casually,0
Playing Minecraft randomly,0
Playing GTA without purpose,0
Playing Free Fire late night,0
Playing Minecraft for time pass,0
Playing Minecraft without purpose,0
Playing Instagram randomly,0
Playing PUBG late night,0
Playing GTA late night,0
Playing PUBG late night,0
Chatting on Instagram for time pass,0
Playing WhatsApp casually,0
Playing Valorant for time pass,0
Playing YouTube casually,0
Playing PUBG without purpose,0
Scrolling Snapchat without purpose,0
Chatting on Instagram for time pass,0
Playing Minecraft late night,0
Playing GTA for time pass,0
Playing Minecraft late night,0
Watching Instagram randomly,0
Playing GTA late night,0
Scrolling Instagram casually,0
Playing PUBG for time pass,0
Playing Free Fire late night,0
Watching Snapchat randomly,0
Playing PUBG late night,0
Playing GTA casually,0
Watching Instagram randomly,0
Playing Free Fire randomly,0
Playing Free Fire late night,0
Chatting on Snapchat late night,0
Playing Minecraft without purpose,0
Playing Free Fire casually,0
Playing Free Fire late night,0
Playing WhatsApp casually,0
Playing PUBG randomly,0
Playing Instagram casually,0
Watching Instagram randomly,0
Chatting on YouTube late night,0
Playing Valorant randomly,0
Playing Valorant randomly,0
Playing Free Fire for time pass,0
Watching YouTube for time pass,0
Playing Free Fire randomly,0
Scrolling Instagram for time pass,0
Playing Minecraft randomly,0
Playing GTA for time pass,0
Playing Free Fire without purpose,0
Playing GTA casually,0
Playing Free Fire late night,0
Browsing Facebook randomly,0
Playing Free Fire without purpose,0
Playing Facebook without purpose,0
Watching YouTube randomly,0
Playing Minecraft late night,0
Playing Valorant for time pass,0
Playing Valorant late night,0
Playing GTA for time pass,0
Browsing Facebook without purpose,0
Playing PUBG for time pass,0
Playing Free Fire without purpose,0
Playing Minecraft for time pass,0
Playing Valorant late night,0
Scrolling Snapchat randomly,0
Playing Minecraft late night,0
Playing Valorant late night,0
Browsing Snapchat late night,0
Chatting on Instagram without purpose,0
Browsing Facebook for time pass,0
Playing GTA without purpose,0
Browsing WhatsApp randomly,0
Chatting on WhatsApp randomly,0
Playing Free Fire randomly,0
Playing Valorant casually,0
Scrolling Facebook for time pass,0
Browsing Facebook casually,0
Playing Snapchat casually,0
Playing GTA randomly,0
Playing GTA for time pass,0
Browsing YouTube late night,0
